id;nama
1;Rektor
2;Majelis Wali Amanat
3;Senat Akademik
4;Wakil Rektor
5;Sekretaris Institut
6;Fakultas
7;Sekolah
8;Direktorat
9;Biro
10;Lembaga
11;Kantor
12;Badan
13;Departemen
14;Program Studi
15;Laboratorium
16;Studio
17;Bengkel
18;Unit Pelaksana Teknis
19;Perpustakaan
20;Pusat Studi
21;Pusat Lain-lain
22;Subdirektorat
23;Seksi
24;Bagian
25;Subbagian
26;Unit
27;Subunit
28;Komite
29;Unit Usaha Komersial
30;Unit Usaha Penunjang
31;Pembantu Rektor
32;Dewan
33;Pusat Penelitian
34;Pusat Unggulan IPTEK
35;Pusat Kajian
36;Institut
